,Car Names,Mileages,Ratings,Reviews,used/certified,price drop,Price,Price_d,used,Reviews_d,price_drop,Mileages_d,group,test,year,Manufacture,model_name
4142,2020 Mercedes-Benz GLE 350 Base 4MATIC,"69,588 mi.",4.9,"(1,013 reviews)",Mercedes-Benz Certified,$600 price drop,"$56,968",56968.0,0.0,1013.0,600.0,69588.0,1315.0,"['2020', 'Mercedes-Benz', 'GLE', '350', 'Base', '4MATIC']",2020,Mercedes-Benz,"['GLE', '350', 'Base', '4MATIC']"
4143,2019 Toyota Camry LE,"46,009 mi.",4.7,(833 reviews),Used,"$1,000 price drop","$25,257",25257.0,1.0,833.0,1000.0,46009.0,1031.0,"['2019', 'Toyota', 'Camry', 'LE']",2019,Toyota,"['Camry', 'LE']"
4144,2019 Nissan Rogue SL,"32,417 mi.",4.7,(204 reviews),Nissan Certified,"$2,456 price drop","$30,311",30311.0,0.0,204.0,2456.0,32417.0,994.0,"['2019', 'Nissan', 'Rogue', 'SL']",2019,Nissan,"['Rogue', 'SL']"
4145,2018 GMC Sierra 1500 SLT,"38,329 mi.",4.9,"(2,634 reviews)",Used,"$1,254 price drop","$38,999",38999.0,1.0,2634.0,1254.0,38329.0,570.0,"['2018', 'GMC', 'Sierra', '1500', 'SLT']",2018,GMC,"['Sierra', '1500', 'SLT']"
4146,2017 Mercedes-Benz AMG G 63 Base,"48,031 mi.",4.6,(23 reviews),Used,$439 price drop,"$119,980",119980.0,1.0,23.0,439.0,48031.0,450.0,"['2017', 'Mercedes-Benz', 'AMG', 'G', '63', 'Base']",2017,Mercedes-Benz,"['AMG', 'G', '63', 'Base']"
4147,2021 Mazda CX-5 Signature,"29,756 mi.",4.2,(47 reviews),Used,$566 price drop,"$39,988",39988.0,1.0,47.0,566.0,29756.0,1580.0,"['2021', 'Mazda', 'CX-5', 'Signature']",2021,Mazda,"['CX-5', 'Signature']"
4148,2019 INFINITI QX60 Luxe,"9,083 mi.",4.7,"(2,356 reviews)",Used,$300 price drop,"$35,744",35744.0,1.0,2356.0,300.0,9083.0,874.0,"['2019', 'INFINITI', 'QX60', 'Luxe']",2019,INFINITI,"['QX60', 'Luxe']"
4149,2019 INFINITI QX50 ESSENTIAL,"43,123 mi.",4.6,"(1,498 reviews)",INFINITI Certified,$657 price drop,"$34,262",34262.0,0.0,1498.0,657.0,43123.0,872.0,"['2019', 'INFINITI', 'QX50', 'ESSENTIAL']",2019,INFINITI,"['QX50', 'ESSENTIAL']"
4150,2020 Ford F-150 Raptor,"38,502 mi.",3.7,(4 reviews),Used,"$1,495 price drop","$68,998",68998.0,1.0,4.0,1495.0,38502.0,1172.0,"['2020', 'Ford', 'F-150', 'Raptor']",2020,Ford,"['F-150', 'Raptor']"
4151,2020 INFINITI QX60 Pure,"42,520 mi.",4.4,"(4,254 reviews)",Used,$178 price drop,"$30,477",30477.0,1.0,4254.0,178.0,42520.0,1230.0,"['2020', 'INFINITI', 'QX60', 'Pure']",2020,INFINITI,"['QX60', 'Pure']"
4152,2013 Ford Escape SEL,"47,963 mi.",4.7,"(1,150 reviews)",Used,$157 price drop,"$15,701",15701.0,1.0,1150.0,157.0,47963.0,101.0,"['2013', 'Ford', 'Escape', 'SEL']",2013,Ford,"['Escape', 'SEL']"
4153,2020 Lincoln Corsair Standard,"87,554 mi.",4.9,"(1,747 reviews)",Used,$961 price drop,"$34,988",34988.0,1.0,1747.0,961.0,87554.0,1287.0,"['2020', 'Lincoln', 'Corsair', 'Standard']",2020,Lincoln,"['Corsair', 'Standard']"
